subject_id,scenario,accountability,judgment
1,0,0,2
2,0,0,1
3,0,0,7
4,0,0,5
5,0,0,1
6,0,0,10
7,0,0,1
8,0,0,1
9,0,0,2
10,0,0,7
11,0,0,9
12,0,0,10
13,0,0,8
14,0,0,1
15,0,0,5
16,0,0,3
17,0,0,1
18,0,0,1
19,0,0,3
20,0,0,1
21,0,0,1
22,0,0,5
23,0,0,8
24,0,0,1
25,0,0,3
26,0,0,1
27,0,0,7
28,0,0,4
29,0,0,4
1,0,1,8
2,0,1,8
3,0,1,10
4,0,1,10
5,0,1,10
6,0,1,10
7,0,1,10
8,0,1,10
9,0,1,8
10,0,1,10
11,0,1,10
12,0,1,10
13,0,1,8
14,0,1,9
15,0,1,2
16,0,1,7
17,0,1,10
18,0,1,10
19,0,1,9
20,0,1,10
21,0,1,10
22,0,1,10
23,0,1,8
24,0,1,10
25,0,1,9
26,0,1,10
27,0,1,4
28,0,1,10
29,0,1,8
101,1,0,1
102,1,0,1
103,1,0,3
104,1,0,3
105,1,0,2
106,1,0,1
107,1,0,1
108,1,0,1
109,1,0,2
110,1,0,7
111,1,0,1
112,1,0,1
113,1,0,1
114,1,0,8
115,1,0,1
116,1,0,8
117,1,0,1
118,1,0,1
119,1,0,1
120,1,0,6
121,1,0,1
122,1,0,8
124,1,0,3
125,1,0,1
126,1,0,10
127,1,0,1
128,1,0,4
129,1,0,1
130,1,0,1
131,1,0,1
132,1,0,10
133,1,0,2
134,1,0,1
135,1,0,1
136,1,0,2
137,1,0,3
138,1,0,1
139,1,0,1
140,1,0,1
141,1,0,3
142,1,0,3
143,1,0,8
144,1,0,3
145,1,0,1
146,1,0,3
147,1,0,2
148,1,0,2
149,1,0,4
150,1,0,3
151,1,0,2
152,1,0,2
153,1,0,8
101,1,1,9
102,1,1,10
103,1,1,3
104,1,1,10
105,1,1,7
106,1,1,8
107,1,1,7
108,1,1,7
109,1,1,7
110,1,1,10
111,1,1,10
112,1,1,8
113,1,1,10
114,1,1,10
115,1,1,6
116,1,1,10
117,1,1,4
118,1,1,10
119,1,1,10
120,1,1,10
121,1,1,10
122,1,1,10
124,1,1,7
125,1,1,10
126,1,1,10
127,1,1,10
128,1,1,8
129,1,1,7
130,1,1,9
131,1,1,8
132,1,1,10
133,1,1,9
134,1,1,7
135,1,1,10
136,1,1,10
137,1,1,10
138,1,1,6
139,1,1,9
140,1,1,8
141,1,1,8
142,1,1,10
143,1,1,10
144,1,1,7
145,1,1,10
146,1,1,6
147,1,1,9
148,1,1,9
149,1,1,7
150,1,1,7
151,1,1,8
152,1,1,9
153,1,1,10
154,1,0,3
154,1,1,8
